Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
31.0,1,1,17.0,3,1,3,3.0,1,5.0,1,2.0,1,1,1,1.0,2,21833.0,0
28.0,1,3,16.0,3,1,3,4.0,1,3.0,3,3.0,0,1,0,2.0,2,22783.0,0
50.0,1,1,7.0,1,0,3,5.0,4,3.0,2,2.0,1,3,0,1.0,0,32642.0,0
28.0,1,1,13.0,2,1,3,5.0,0,3.0,1,3.0,0,1,1,2.0,1,21217.0,0
40.0,1,1,14.0,2,0,3,3.0,1,5.0,1,3.0,1,1,0,0.0,2,21516.0,0
29.0,1,1,21.0,2,1,2,3.0,0,3.0,2,2.0,0,3,0,0.0,1,17340.0,0
40.0,1,1,17.0,3,1,4,4.0,3,3.0,2,2.0,0,3,1,1.0,3,32142.0,0
29.0,0,1,7.0,3,1,3,4.0,0,3.0,2,2.0,1,4,0,1.0,1,20832.0,0
31.0,1,1,8.0,3,1,4,4.0,0,4.0,1,2.0,1,4,1,3.0,1,22257.0,0
41.0,1,1,15.0,2,1,3,3.0,0,5.0,0,3.0,0,2,0,2.0,1,17238.0,0
31.0,0,3,8.0,2,0,2,4.0,0,3.0,2,1.0,0,5,0,1.0,1,17785.0,1
21.0,1,1,7.0,2,0,3,5.0,0,4.0,3,3.0,0,4,1,1.0,1,21514.0,0
42.0,1,3,15.0,3,0,3,4.0,1,4.0,1,7.0,0,3,1,2.0,2,23071.0,0
29.0,1,3,12.0,3,1,4,4.0,1,3.0,3,3.0,0,3,0,2.0,2,23586.0,0
54.0,0,1,7.0,3,0,3,5.0,4,3.0,1,6.0,1,1,0,1.0,0,31643.0,0
59.0,0,2,8.0,2,0,2,4.0,2,3.0,0,1.0,0,2,1,1.0,4,33844.0,0
51.0,1,1,6.0,2,1,3,3.0,0,3.0,0,2.0,0,4,1,0.0,1,17723.0,0
32.0,0,1,27.0,2,1,4,4.0,3,3.0,0,5.0,0,3,1,1.0,3,28502.0,1
37.0,0,3,15.0,1,1,3,4.0,1,3.0,1,6.0,0,3,1,2.0,2,23757.0,0
56.0,0,3,12.0,2,0,2,2.0,4,5.0,0,1.0,0,3,1,0.0,0,28212.0,0
60.0,1,1,13.0,2,0,2,3.0,2,5.0,1,6.0,0,5,1,0.0,4,34566.0,0
30.0,1,1,25.0,3,1,3,5.0,0,3.0,2,3.0,1,3,0,2.0,1,21067.0,1
30.0,1,1,35.0,3,0,4,5.0,0,5.0,3,3.0,0,1,0,2.0,1,22463.0,0
47.0,1,2,12.0,3,1,4,4.0,1,4.0,1,2.0,1,5,1,3.0,2,23699.0,0
37.0,0,3,17.0,3,1,3,4.0,3,3.0,2,3.0,0,1,1,2.0,3,28658.0,0
29.0,1,1,28.0,3,1,3,4.0,0,3.0,1,3.0,0,1,0,1.0,1,21391.0,0
36.0,1,1,7.0,3,1,2,5.0,0,3.0,3,3.0,0,4,1,1.0,1,21537.0,0
23.0,1,1,16.0,1,1,2,1.0,0,3.0,1,3.0,0,1,1,0.0,1,17073.0,0
32.0,1,1,15.0,2,0,4,4.0,1,3.0,3,3.0,0,5,0,2.0,2,23102.0,0
41.0,0,1,9.0,3,0,3,2.0,1,4.0,1,3.0,0,3,0,1.0,2,22922.0,0
34.0,1,1,7.0,2,1,4,5.0,0,5.0,3,5.0,1,4,0,1.0,1,21477.0,0
37.0,1,1,7.0,2,0,3,4.0,1,4.0,1,2.0,0,5,1,2.0,2,23906.0,0
36.0,1,1,14.0,1,0,2,3.0,3,3.0,1,2.0,0,4,1,1.0,3,25096.0,0
33.0,0,3,11.0,2,1,3,3.0,1,3.0,0,7.0,0,1,1,2.0,2,24998.0,0
37.0,0,1,25.0,2,1,3,2.0,0,3.0,1,6.0,0,5,1,2.0,1,22366.0,0
55.0,1,1,24.0,1,0,3,4.0,3,3.0,0,2.0,0,5,1,1.0,3,29417.0,0
32.0,1,1,33.0,2,1,3,4.0,0,3.0,1,3.0,0,3,1,2.0,1,21589.0,0
45.0,1,1,13.0,2,1,2,3.0,3,5.0,1,3.0,0,3,1,1.0,3,24724.0,0
50.0,1,1,32.0,2,0,3,4.0,0,5.0,1,3.0,0,3,0,1.0,1,21889.0,0
20.0,1,3,28.0,2,1,3,5.0,0,4.0,2,3.0,1,2,0,2.0,1,20799.0,1
35.0,1,1,14.0,2,1,2,1.0,0,3.0,1,2.0,0,5,1,1.0,1,17269.0,0
35.0,1,3,6.0,3,1,3,3.0,3,4.0,1,2.0,0,4,0,0.0,3,22295.0,0
54.0,1,1,25.0,3,0,3,3.0,1,5.0,1,1.0,1,3,0,2.0,2,20485.0,0
33.0,1,1,27.0,3,1,3,1.0,0,4.0,1,2.0,0,1,1,1.0,1,17028.0,0
36.0,0,1,7.0,3,1,4,4.0,0,5.0,1,6.0,0,1,0,2.0,1,20872.0,0
37.0,1,1,10.0,2,0,3,4.0,0,3.0,1,7.0,0,2,1,1.0,1,21513.0,0
24.0,0,3,16.0,3,1,3,4.0,0,5.0,1,3.0,0,5,1,1.0,1,20468.0,1
40.0,1,3,16.0,3,1,3,4.0,3,4.0,1,3.0,0,4,0,0.0,3,24705.0,0
30.0,1,3,21.0,3,1,3,4.0,3,5.0,1,3.0,0,1,0,2.0,3,22140.0,0
36.0,0,1,15.0,2,0,3,4.0,1,3.0,1,3.0,0,5,1,2.0,2,22826.0,0
61.0,0,3,35.0,3,0,4,5.0,3,5.0,1,6.0,0,1,1,1.0,3,28944.0,0
56.0,1,1,9.0,1,1,4,5.0,0,3.0,1,2.0,0,5,0,1.0,1,21340.0,0
27.0,1,3,11.0,3,1,3,5.0,1,3.0,3,3.0,1,1,1,1.0,2,24506.0,1
36.0,1,3,7.0,3,0,4,4.0,1,3.0,3,3.0,0,4,1,1.0,2,23537.0,0
35.0,1,1,33.0,3,0,2,4.0,0,5.0,2,2.0,0,4,1,1.0,1,17559.0,0
30.0,1,3,7.0,3,0,3,5.0,0,3.0,1,8.0,1,2,0,2.0,1,21478.0,1
57.0,0,1,7.0,2,1,3,4.0,1,3.0,1,3.0,0,3,0,1.0,2,24984.0,0
28.0,1,1,7.0,2,0,4,4.0,3,5.0,1,3.0,0,4,0,3.0,3,26090.0,0
38.0,1,3,9.0,2,1,3,3.0,3,3.0,1,1.0,0,1,1,1.0,3,25609.0,0
34.0,1,1,17.0,3,1,3,6.0,0,3.0,1,2.0,0,5,0,1.0,1,22086.0,1
60.0,1,1,10.0,3,0,3,2.0,0,5.0,1,6.0,1,1,0,2.0,1,21348.0,0
30.0,1,3,16.0,3,1,3,4.0,1,3.0,1,2.0,0,1,0,1.0,2,21578.0,0
33.0,1,1,11.0,2,0,4,5.0,1,3.0,0,3.0,0,4,1,1.0,2,24840.0,0
26.0,1,3,20.0,3,1,3,4.0,0,3.0,0,3.0,0,3,1,1.0,1,20774.0,0
38.0,1,1,17.0,3,0,4,4.0,0,4.0,1,3.0,0,1,1,1.0,1,22614.0,0
48.0,1,3,8.0,3,1,2,4.0,1,4.0,3,1.0,1,1,1,0.0,2,22898.0,1
21.0,1,3,16.0,2,1,3,4.0,0,5.0,3,3.0,0,1,0,2.0,1,21406.0,0
28.0,1,1,9.0,3,1,3,4.0,0,4.0,1,2.0,0,5,1,2.0,1,22146.0,0
29.0,1,1,36.0,2,1,4,6.0,1,4.0,0,3.0,0,1,1,3.0,2,25227.0,0
41.0,1,2,25.0,2,1,3,2.0,0,5.0,1,2.0,0,1,1,2.0,1,21065.0,1
35.0,1,3,16.0,3,1,3,4.0,3,3.0,1,6.0,0,3,1,2.0,3,23168.0,1
57.0,1,1,31.0,2,1,4,4.0,0,3.0,2,3.0,0,3,0,1.0,1,21265.0,1
35.0,1,1,13.0,2,1,3,4.0,0,3.0,1,2.0,0,3,1,0.0,1,17690.0,0
30.0,1,1,9.0,1,0,2,3.0,0,5.0,2,6.0,1,4,1,1.0,1,17657.0,1
39.0,0,2,7.0,2,1,3,4.0,0,4.0,1,2.0,1,1,1,2.0,1,21669.0,0
27.0,1,1,8.0,2,0,2,3.0,0,5.0,1,2.0,0,3,0,1.0,1,17341.0,0
34.0,1,1,14.0,3,0,3,3.0,1,3.0,2,4.0,0,4,1,1.0,2,21142.0,0
32.0,0,1,36.0,3,1,4,5.0,0,4.0,3,2.0,0,3,0,3.0,1,22157.0,1
38.0,1,1,6.0,2,0,2,2.0,1,3.0,3,1.0,0,2,1,1.0,2,22625.0,0
37.0,1,3,9.0,2,1,2,3.0,3,3.0,3,3.0,0,3,0,1.0,3,22428.0,0
47.0,1,1,9.0,1,1,3,4.0,1,3.0,1,4.0,0,1,0,1.0,2,26057.0,0
58.0,1,1,29.0,3,0,3,3.0,3,3.0,0,2.0,0,3,1,0.0,3,25312.0,1
43.0,0,1,13.0,3,1,2,2.0,0,3.0,1,5.0,0,4,0,1.0,1,17089.0,0
48.0,1,3,9.0,3,0,3,4.0,1,3.0,0,2.0,1,2,1,1.0,2,23215.0,0
56.0,1,1,11.0,2,1,2,4.0,1,3.0,0,2.0,1,4,0,1.0,2,22713.0,0
40.0,1,1,30.0,1,1,3,3.0,1,3.0,1,2.0,0,3,1,1.0,2,18319.0,0
42.0,1,1,23.0,2,0,2,1.0,1,5.0,3,4.0,1,1,1,1.0,2,21545.0,0
40.0,1,3,15.0,3,1,2,3.0,1,5.0,1,1.0,0,3,1,1.0,2,20473.0,0
39.0,1,2,7.0,2,1,3,2.0,0,3.0,1,3.0,0,4,1,1.0,1,21522.0,0
29.0,1,1,34.0,2,0,3,3.0,0,3.0,1,5.0,0,5,1,0.0,1,17514.0,0
41.0,1,1,15.0,3,1,4,5.0,0,3.0,3,3.0,1,4,1,3.0,1,27772.0,1
50.0,1,1,16.0,1,1,3,4.0,3,3.0,3,7.0,0,5,0,2.0,3,25496.0,0
26.0,1,3,35.0,2,1,3,5.0,1,3.0,1,4.0,0,4,1,2.0,2,27317.0,0
37.0,0,1,17.0,2,1,2,3.0,3,3.0,1,2.0,1,3,1,1.0,3,27185.0,0
33.0,1,1,10.0,3,0,4,4.0,1,5.0,0,3.0,0,2,1,2.0,2,25403.0,0
30.0,1,3,14.0,2,1,3,3.0,3,3.0,1,6.0,0,3,1,0.0,3,22264.0,0
28.0,1,1,26.0,2,1,4,5.0,0,5.0,1,3.0,0,1,0,1.0,1,22744.0,0
41.0,0,3,15.0,2,1,2,5.0,4,3.0,1,1.0,0,5,1,1.0,0,21151.0,1
58.0,1,1,13.0,3,0,2,4.0,3,5.0,0,1.0,1,4,1,0.0,3,25008.0,1
45.0,1,1,15.0,2,1,4,2.0,0,3.0,1,4.0,1,3,1,1.0,1,21496.0,0
29.0,1,1,13.0,3,0,3,4.0,0,3.0,1,7.0,0,5,1,0.0,1,17532.0,0
35.0,1,3,9.0,2,1,3,4.0,1,3.0,3,3.0,0,5,0,1.0,2,24952.0,0
25.0,1,1,24.0,3,0,3,5.0,1,3.0,1,3.0,0,3,1,2.0,2,23055.0,0
28.0,0,3,27.0,2,0,3,4.0,1,3.0,2,3.0,0,1,1,2.0,2,28659.0,0
40.0,0,3,11.0,2,1,2,4.0,3,5.0,1,6.0,1,5,0,0.0,3,25475.0,0
30.0,1,3,8.0,1,1,3,3.0,0,4.0,1,2.0,0,3,1,0.0,1,17476.0,0
38.0,0,3,16.0,1,0,2,3.0,1,3.0,2,2.0,1,3,1,0.0,2,20666.0,0
30.0,1,1,15.0,2,1,4,6.0,0,5.0,1,3.0,1,3,0,2.0,1,20797.0,1
36.0,1,1,15.0,2,1,3,3.0,0,3.0,0,3.0,0,5,1,2.0,1,20947.0,0
42.0,1,1,10.0,1,1,2,3.0,2,3.0,1,2.0,0,1,0,0.0,4,34232.0,0
32.0,1,1,14.0,2,1,3,4.0,1,3.0,1,5.0,0,3,1,1.0,2,24593.0,0
39.0,1,1,6.0,3,0,3,3.0,0,3.0,1,1.0,0,3,1,0.0,1,17232.0,0
36.0,0,3,25.0,2,1,4,4.0,3,5.0,0,3.0,0,4,1,1.0,3,27747.0,0
27.0,0,1,12.0,3,0,3,5.0,0,3.0,0,3.0,1,2,0,2.0,1,21044.0,1
35.0,0,3,14.0,3,0,3,4.0,3,3.0,1,5.0,1,5,1,2.0,3,25377.0,0
32.0,0,3,9.0,2,0,3,4.0,3,3.0,1,3.0,1,1,1,1.0,3,28530.0,0
35.0,1,1,34.0,3,0,4,4.0,0,4.0,2,4.0,0,3,1,1.0,1,20989.0,0
37.0,1,3,7.0,2,1,3,4.0,1,3.0,1,3.0,1,3,1,2.0,2,24879.0,0
38.0,0,3,11.0,3,1,3,4.0,0,3.0,1,6.0,0,4,1,1.0,1,21471.0,0
54.0,1,1,9.0,2,1,2,3.0,4,3.0,1,4.0,0,5,0,0.0,0,32779.0,0
42.0,0,1,9.0,2,0,4,5.0,1,3.0,3,4.0,1,2,0,1.0,2,25489.0,0
39.0,1,1,25.0,3,1,3,6.0,1,3.0,1,5.0,1,5,0,2.0,2,24489.0,0
37.0,0,1,16.0,2,1,4,2.0,0,4.0,1,3.0,0,5,1,1.0,1,21488.0,0
28.0,1,1,6.0,1,1,2,3.0,0,5.0,2,3.0,0,4,0,0.0,1,17080.0,0
24.0,1,3,6.0,1,0,3,3.0,0,4.0,2,2.0,1,4,1,2.0,1,18202.0,1
49.0,0,1,24.0,2,1,3,3.0,1,3.0,1,2.0,1,1,0,0.0,2,21804.0,0
20.0,1,1,16.0,2,1,3,4.0,0,5.0,2,3.0,0,3,0,2.0,1,21230.0,0
36.0,1,1,30.0,2,1,3,5.0,1,3.0,1,5.0,1,4,1,1.0,2,24594.0,1
30.0,1,1,7.0,3,1,3,4.0,0,3.0,1,2.0,1,3,1,1.0,1,23465.0,1
37.0,1,1,19.0,3,0,3,5.0,3,3.0,3,2.0,0,2,1,1.0,3,27536.0,0
42.0,1,3,14.0,3,1,2,3.0,1,4.0,0,1.0,0,3,0,1.0,2,21825.0,0
32.0,0,1,30.0,2,1,3,3.0,1,3.0,1,2.0,0,4,1,2.0,2,20309.0,0
38.0,1,1,9.0,1,0,2,3.0,1,3.0,2,4.0,1,5,0,0.0,2,1000.0,0
59.0,0,1,7.0,2,1,3,6.0,1,3.0,1,4.0,1,1,1,2.0,2,24338.0,0
34.0,0,3,29.0,3,1,4,4.0,1,4.0,0,2.0,0,2,0,2.0,2,24824.0,0
38.0,1,3,20.0,2,1,3,3.0,1,4.0,1,1.0,0,5,1,2.0,2,24924.0,0
53.0,1,1,9.0,2,0,3,5.0,0,3.0,3,2.0,0,3,1,1.0,1,21890.0,0
55.0,1,3,24.0,2,0,2,3.0,4,4.0,2,4.0,0,2,0,1.0,0,31835.0,0
43.0,1,3,7.0,2,1,2,4.0,1,3.0,1,3.0,0,3,1,1.0,2,23585.0,0
35.0,1,1,16.0,3,0,3,5.0,3,4.0,3,3.0,0,1,1,1.0,3,27299.0,0
22.0,1,1,10.0,3,1,4,5.0,0,3.0,3,3.0,0,5,1,2.0,1,21908.0,0
50.0,1,3,34.0,3,1,2,4.0,3,5.0,1,5.0,1,5,0,0.0,3,25854.0,1
39.0,1,1,36.0,1,1,3,4.0,1,3.0,1,5.0,0,1,0,1.0,2,24939.0,0
45.0,1,1,8.0,2,0,3,4.0,0,3.0,2,2.0,0,3,1,1.0,1,17274.0,0
28.0,1,1,15.0,3,0,4,4.0,0,3.0,3,3.0,0,4,1,3.0,1,22123.0,0
39.0,1,1,22.0,2,1,4,5.0,3,3.0,1,2.0,1,5,1,3.0,3,30188.0,0
32.0,1,3,25.0,2,1,3,5.0,3,3.0,1,4.0,0,3,1,2.0,3,24610.0,0
35.0,1,1,6.0,3,1,2,4.0,0,3.0,0,7.0,0,2,1,1.0,1,17258.0,0
36.0,1,1,9.0,2,1,3,5.0,3,4.0,1,4.0,0,4,1,1.0,3,28952.0,0
18.0,0,1,14.0,3,1,3,3.0,0,3.0,2,2.0,0,5,1,0.0,1,16904.0,1
33.0,1,1,6.0,2,1,3,3.0,0,3.0,2,2.0,1,3,1,0.0,1,17686.0,1
44.0,0,2,6.0,2,1,2,3.0,1,3.0,1,5.0,1,5,1,1.0,2,20743.0,0
38.0,1,1,14.0,3,1,2,4.0,3,3.0,2,6.0,0,1,0,1.0,3,32342.0,0
27.0,1,3,8.0,3,0,3,5.0,2,4.0,2,3.0,1,5,1,1.0,4,17517.0,1
44.0,0,1,28.0,3,1,4,4.0,0,3.0,1,2.0,0,4,1,3.0,1,20936.0,0
43.0,0,1,16.0,2,0,2,4.0,1,3.0,1,2.0,0,3,0,0.0,2,20257.0,0
34.0,1,1,14.0,2,0,2,3.0,1,5.0,1,4.0,0,5,1,0.0,2,20121.0,0
31.0,1,1,23.0,2,1,3,4.0,0,3.0,1,3.0,0,1,0,1.0,1,21540.0,0
39.0,0,1,15.0,2,1,3,3.0,1,4.0,3,21.0,0,2,1,0.0,2,21782.0,0
18.0,1,3,16.0,3,0,3,4.0,0,3.0,2,2.0,0,2,1,2.0,1,16200.0,0
41.0,1,1,9.0,3,0,3,5.0,0,3.0,2,2.0,1,3,0,1.0,1,21020.0,0
52.0,1,1,13.0,2,1,2,3.0,3,4.0,3,1.0,0,3,1,1.0,3,25445.0,0
45.0,1,2,10.0,2,0,2,5.0,3,3.0,1,5.0,0,1,1,1.0,3,24756.0,0
31.0,0,1,9.0,3,1,3,3.0,3,3.0,1,1.0,0,4,1,2.0,3,28675.0,0
41.0,1,1,21.0,3,1,3,5.0,2,3.0,2,3.0,0,3,1,2.0,4,38304.0,0
52.0,0,3,8.0,2,1,3,4.0,2,3.0,2,2.0,1,1,1,0.0,4,34068.0,0
33.0,0,3,6.0,2,0,2,1.0,1,5.0,1,3.0,0,3,0,1.0,2,20376.0,0
